Result Date,E. coli - counts Flag,E. coli - counts,E. coli - MPN Flag,E. coli - MPN MPN/100ml,Enterococcus  Flag,Enterococcus  MPN/100ml,Station
2022-07-07 00:00,,,,63,,31,64244
2022-07-06 00:00,,,,10,<,10,64244
2022-07-05 00:00,,,,10,<,10,64244
2022-07-04 00:00,,,<,10,,10,64244
2022-07-03 00:00,,,,86,<,10,64244
2022-07-02 00:00,,,,63,,10,64244
2022-07-01 00:00,,,,75,,20,64244
2022-06-30 00:00,,,,52,<,10,64244
2022-06-29 00:00,,,,108,,20,64244
2022-06-28 00:00,,,,246,<,10,64244
2022-06-27 00:00,,,<,10,,10,64244
2022-06-26 00:00,,,,41,,10,64244
2022-06-25 00:00,,,,20,<,10,64244
2022-06-24 00:00,,,,41,<,10,64244
2022-06-23 00:00,,,<,10,<,10,64244
2022-06-22 00:00,,,<,10,<,10,64244
2022-06-21 00:00,,,<,10,<,10,64244
2022-06-20 00:00,,,,74,,52,64244
2022-06-19 00:00,,,,10,<,10,64244
2022-06-18 00:00,,,,10,,10,64244
2022-06-17 00:00,,,,10,<,10,64244
2022-06-16 00:00,,,<,10,<,10,64244
2022-06-15 00:00,,,,31,,10,64244
2022-06-14 00:00,,,,134,<,10,64244
2022-06-13 00:00,,,,52,<,10,64244
2022-06-12 00:00,,,,85,,10,64244
2022-06-11 00:00,,,<,10,,10,64244
2022-06-10 00:00,,,<,10,<,10,64244
2022-06-09 00:00,,,<,10,<,10,64244
2022-06-08 00:00,,,<,10,,10,64244
2022-06-07 00:00,,,<,10,<,10,64244
2022-06-06 00:00,,,,10,<,10,64244
2022-06-05 00:00,,,<,10,<,10,64244
2022-06-04 00:00,,,<,10,<,10,64244
2022-06-03 00:00,,,<,10,,10,64244
2022-06-02 00:00,,,<,10,<,10,64244
2022-06-01 00:00,,,,20,,31,64244
2022-05-31 00:00,,,<,10,,10,64244
2022-05-30 00:00,,,<,10,<,10,64244
2022-05-29 00:00,,,,20,,10,64244
2022-05-28 00:00,,,<,10,<,10,64244
2022-05-27 00:00,,,<,10,<,10,64244
2022-05-26 00:00,,,<,10,<,10,64244
2022-05-25 00:00,,,<,10,<,10,64244
2022-05-24 00:00,,,,10,<,10,64244
2022-05-23 00:00,,,<,10,<,10,64244
2022-05-22 00:00,,,<,10,<,10,64244
2022-05-21 00:00,,,<,10,<,10,64244
2022-05-20 00:00,,,<,10,<,10,64244
2022-05-19 00:00,,,,10,,10,64244
2022-05-18 00:00,,,,63,,697,64244
2023-09-15 00:00,,,,,,,64245
2023-09-13 00:00,,,,538,<,10,64245
2023-09-12 00:00,,,,1782,,285,64245
2023-09-11 00:00,,,,20,,10,64245
2023-09-10 00:00,,,,30,<,10,64245
2023-09-09 00:00,,,,86,<,10,64245
2023-09-08 00:00,,,<,10,<,10,64245
2023-09-07 00:00,,,<,10,<,10,64245
2023-09-06 00:00,,,,20,<,10,64245
2023-09-05 00:00,,,,10,,10,64245
2023-09-04 00:00,,,<,10,<,10,64245
2023-09-03 00:00,,,,10,<,10,64245
2023-09-02 00:00,,,,31,,10,64245
2023-09-01 00:00,,,,63,,31,64245
2023-08-31 00:00,,,,2143,,479,64245
2023-08-30 00:00,,,,52,,31,64245
2023-08-29 00:00,,,,20,<,10,64245
2023-08-28 00:00,,,,10,,30,64245
2023-08-27 00:00,,,,146,,195,64245
2023-08-26 00:00,,,<,10,<,10,64245
2023-08-25 00:00,,,<,10,<,10,64245
2023-08-24 00:00,,,<,10,<,10,64245
2023-08-23 00:00,,,,10,<,10,64245
2023-08-22 00:00,,,,175,,41,64245
2023-08-21 00:00,,,,10,<,10,64245
2023-08-20 00:00,,,,20,<,10,64245
2023-08-19 00:00,,,,20,<,10,64245
2023-08-18 00:00,,,,135,,20,64245
2023-08-17 00:00,,,,10,<,10,64245
2023-08-16 00:00,,,,10,,31,64245
2023-08-15 00:00,,,,216,,336,64245
2023-08-14 00:00,,,,52,<,10,64245
2023-08-13 00:00,,,<,10,<,10,64245
2023-08-12 00:00,,,,85,,98,64245
2023-08-11 00:00,,,,135,,134,64245
2023-08-10 00:00,,,,327,,199,64245
2023-08-09 00:00,,,,74,,52,64245
2023-08-08 00:00,,,,134,,109,64245
2023-08-07 00:00,,,,20,<,10,64245
2023-08-06 00:00,,,,10,<,10,64245
2023-08-05 00:00,,,<,10,,10,64245
2023-08-04 00:00,,,<,10,<,10,64245
